ID number for us,LOCATION CLUES,COMMENTS,LINK,LINK TO IMAGE FILE,LAT,LONG,TYPOLOGY
1,"berry street, skelmersdale",located,https://artuk.org/discover/artworks/the-beacon-from-berry-street-151686/view_as/grid/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/1,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LCMS/LAN_LCMS_LANMS_1991_218_9-001.jpg,53.55528728,-2.7914931,Painting
2,sunderland point,located,https://artuk.org/discover/artworks/sunderland-point-151629/view_as/grid/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/1,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LCMS/LAN_LCMS_LANMS_1996_72-001.jpg,53.99737049,-2.877476057,Painting
3,halton green,located,https://artuk.org/discover/artworks/evensong-the-brook-at-halton-green-153044/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/6,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LMA_20-001.jpg,54.08158803,2.741147461,Painting
4,"moorland, hills, water, buildings","generic, but lancashire artist",https://artuk.org/discover/artworks/moorland-distant-hills-153038/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/3,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_6-001.jpg,0,0,Painting
5,lancaster from the north west,located,https://artuk.org/discover/artworks/lancaster-153035/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/3,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1907_4_1-001.jpg,54.06515345,2.789609208,Painting
6,"train, railway","cathedral in background, lancashire artist",https://artuk.org/discover/artworks/london-midland-and-scottish-railway-locomotive-number-6161-kings-own-152649/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/3,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/KOR/LAN_KOR_ko1905_01-001.jpg,UNKNOWN,,Painting
7,galgate mill,located,https://artuk.org/discover/artworks/galgate-mill-153363/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/2,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/PSGA/LAN_PSGA_LANPS_OW225-001.jpg,53.99524899,-2.786502471,Painting
8,galgate station,located,https://artuk.org/discover/artworks/galgate-station-by-night-153173,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1990_14_1-001.jpg,53.9886,2.789,Painting
9,Trees,"No place, but lancashire artist",https://artuk.org/discover/artworks/trees-sombre-tones-153040/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/2,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_4-001.jpg,0,0,Painting
10,,"No place, but lancashire artist",https://artuk.org/discover/artworks/landscape-with-trees-153039/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/2,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_7-001.jpg,0,0,Painting
11,Brookhouse,church,https://artuk.org/discover/artworks/brookhouse-153045/view_as/grid/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/1,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LMA_53-001.jpg,54.07579695,-2.700207915,Painting
12,"lancaster from the east, bridge",approx,https://artuk.org/discover/artworks/lancaster-from-the-east-153266/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/11,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1928_14_1-001.jpg,54.05358536,-2.792165057,Painting
13,lancaster old town hall,located,https://artuk.org/discover/artworks/lancaster-old-town-hall-153268/view_as/grid/search/2024--keyword:lancaster-old-town-hall--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10--location_address:lancaster-la2-uk/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LMA_93_1-001.jpg,54.04953138,-2.801537954,Painting
14,lune valley,"no place, but lune valley generic",https://artuk.org/discover/artworks/spring-in-the-lune-valley-153036/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/10,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1914_1-001.jpg,54.22604091,-2.602283165,Painting
15,lancaster castle,lancaster castle,https://artuk.org/discover/artworks/gateway-to-castle-150813/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/9,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/DUCH/LAN_DUCH_LC39-001.jpg,54.05030131,-2.805432415,Painting
16,bardea,located,https://artuk.org/discover/artworks/10th-lancashire-rifle-volunteers-at-camp-bardsea-1875-152646/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/9,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/KOR/LAN_KOR_ko1791_01-001.jpg,54.16178293,-3.075173175,Painting
17,pasture land,"no place, lancashire artist",https://artuk.org/discover/artworks/stream-trees-pastureland-153042/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/9,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_8-001.jpg,0,0,Painting
18,whittington hall,located - slavery connection,https://artuk.org/discover/artworks/the-drawing-room-at-whittington-hall-151700/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/9,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LCMS/LAN_LCMS_LANMS_1998_18-001.jpg,54.18053183,-2.619957088,Painting
19,lancaster castle,located,https://artuk.org/discover/artworks/view-of-lancaster-castle-150802/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/8,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/DUCH/LAN_DUCH_LC38-001.jpg,54.05000525,-2.805357316,Painting
20,caton,located,https://artuk.org/discover/artworks/caton-153034/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/7,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_5-001.jpg,54.07609831,-2.718363784,Painting
21,moorland stream,"no place, lancashire artist",https://artuk.org/discover/artworks/trees-by-a-moorland-stream-153041/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/7,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LANLM_1975_36_1-001.jpg,0,0,Painting
22,hornby hall,located; text mentions Ann Dowbiggin - relation of John (one of our landowners) perhaps?,https://artuk.org/discover/artworks/hornby-hall-and-castle-151659/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/7,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LCMS/LAN_LCMS_LANMS_1991_118-001.jpg,54.11188179,-2.637783376,Painting
23,brook at halton green,approx,https://artuk.org/discover/artworks/evensong-the-brook-at-halton-green-153044/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/6,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/LAN/LANCM/LAN_LANCM_LMA_20-001.jpg,54.08081442,-2.743653945,Painting
24,not locatable,"no place, lanacashire artist",https://artuk.org/discover/artworks/sunriseset-over-hills-153341/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/19,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/PSGA/LAN_PSGA_LANPS_WM187-001.jpg,0,0,Painting
25,lancaster castle,located,https://artuk.org/discover/artworks/lancaster-castle-church-and-old-bridge-153248/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/18,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1950_9-001.jpg,54.05030131,-2.805432415,Painting
26,river and bridge,"no place, lancashire artist",https://artuk.org/discover/artworks/house-by-a-river-and-a-bridge-by-night-153020/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/18,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1931_6-001.jpg,0,0,Painting
27,aqueduct bridge,located,https://artuk.org/discover/artworks/lancaster-from-the-aqueduct-bridge-153030/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/18,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1948_31_2-001.jpg,54.06901919,-2.789810223,Painting
28,skerton,approx,https://artuk.org/discover/artworks/lancaster-from-skerton-with-a-sailing-ship-153243/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/18,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1928_14_2_a-001.jpg,54.05949087,-2.798382978,Painting
29,park field lodge,located,https://artuk.org/discover/artworks/park-field-lodge-in-winter-153294/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1948_4_1-001.jpg,54.03986318,-2.794574326,Painting
30,st george's quay,located,https://artuk.org/discover/artworks/st-georges-quay-last-warehouse-and-cottages-153259/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/18,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1983_57-001.jpg,54.05447323,-2.809043974,Painting
31,lancaster sands,"a key picturesque location, also painted by Turner",https://artuk.org/discover/artworks/coach-crossing-lancaster-sands-153256/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1961_17-001.jpg,54.15853304,-2.859222575,Painting
32,old loyne bridge,located,https://artuk.org/discover/artworks/last-arch-of-the-old-loyne-bridge-from-the-north-east-153296/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1892_20-001.jpg,54.12184103,-2.641548389,Painting
33,lancaster from the moor,"lune visible, approx location",https://artuk.org/discover/artworks/lancaster-from-the-moor-153274/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1923_2-001.jpg,54.04550751,-2.782494879,Painting
34,judge's lodgings,located,https://artuk.org/discover/artworks/the-judges-lodgings-153255/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1956_7_42-001.jpg,54.05024327,-2.803698161,Painting
35,market square,located,https://artuk.org/discover/artworks/market-square-lancaster-153217/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/17,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1967_9-001.jpg,54.04897025,-2.801420789,Painting
36,stonewall and pumps,possible - lancaster castle and cathedral in background?,https://artuk.org/discover/artworks/stonewell-and-pumps-153202/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/16,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1945_6_1-001.jpg,UNKNOWN,,Painting
37,heysham,approx,https://artuk.org/discover/artworks/view-of-heysham-153300/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/15,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1950_21_32-001.jpg,54.04232218,-2.895163163,Painting
38,bath mill,best guess,https://artuk.org/discover/artworks/road-to-bath-mill-153183/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/15,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1967_18-001.jpg,54.05023354,-2.793498016,Painting
39,williamson park lake,approx,https://artuk.org/discover/artworks/williamson-park-lake-150938/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/15,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LCITY/LAN_LCITY_AM8-001.jpg,54.04542329,-2.781891434,Painting
40,millenium bridge,located,https://artuk.org/discover/artworks/millennium-bridge-150929/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/15,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LCITY/LAN_LCITY_AM51-001.jpg,54.05260205,-2.802422916,Painting
41,not locatable,"no place, lancashire artist",https://artuk.org/discover/artworks/trees-buildings-path-153343/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/14,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/PSGA/LAN_PSGA_LANPS_WM189-001.jpg,0,0,Painting
42,silverdale,approx,https://artuk.org/discover/artworks/silverdale-153377/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/14,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/PSGA/LAN_PSGA_LANPS_OW379-001.jpg,"54.17468350151068, -2.8119960238642827",,Painting
43,aquaduct bridge,approx,https://artuk.org/discover/artworks/lancaster-from-above-the-aqueduct-bridge-153080/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/14,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1997_14-001.jpg,54.07094107,-2.786964881,Painting
44,heysham,approx,https://artuk.org/discover/artworks/footpath-to-heysham-150980/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/14,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LCITY/LAN_LCITY_MTH003-001.jpg,"54.04240377498979, -2.8940561871535273",,Painting
45,quaker meeting house,located,https://artuk.org/discover/artworks/quaker-meeting-house-lancaster-150967/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/13,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LCITY/LAN_LCITY_AM28-001.jpg,"54.04849136376087, -2.8065223741560126",,Painting
46,scotforth mill,located,https://artuk.org/discover/artworks/the-old-mill-scotforth-153121/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/12,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1963_1-001.jpg,"54.03260319129707, -2.78941190237032",,Painting
47,cable street,located,https://artuk.org/discover/artworks/lancaster-from-cable-street-153135/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/12,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1930_2-001.jpg,"54.051135842743264, -2.7998626164848512",,Painting
48,old loyne bridge,located,https://artuk.org/discover/artworks/old-loyne-bridge-153116/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/12,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1936_26_2-001.jpg,54.12184103,-2.641548389,Painting
49,lancaster from the east,estimated,https://artuk.org/discover/artworks/lancaster-from-the-east-153110/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/11,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1931_12_11-001.jpg,"54.050274245287774, -2.7407167662040997",,Painting
50,st marys church,located,https://artuk.org/discover/artworks/st-marys-church-lancaster-153111/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/11,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LM_91-001.jpg,"54.051660440359846, -2.805888274644576",,Painting
51,,"no place, lancashire artist",https://artuk.org/discover/artworks/line-of-trees-by-path-153342/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/28,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/PSGA/LAN_PSGA_LANPS_WM188-001.jpg,0,0,Painting
52,lancaster,approx,https://artuk.org/discover/artworks/lancaster-from-the-north-west-153065/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/28,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1965_36_2-001.jpg,"54.06627803348173, -2.8119605706038397",,Painting
53,john armstrong,location is silk mill he owned,https://artuk.org/discover/artworks/two-horses-belonging-to-john-armstrong-153058/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/28,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1935_29_2-001.jpg,"53.99523345660967, -2.7869215063014083",,Painting
54,"kenilcote, balmoral road",,https://artuk.org/discover/artworks/harvesting-balmoral-road-near-kenilcote-the-artists-home-153311/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/28,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1996_50_29-001.jpg,"54.04650406145991, -2.792450845320635",,Painting
55,lune aquaduct,,https://artuk.org/discover/artworks/view-of-lancaster-and-the-lune-aqueduct-153197/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/27,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_2010_4_2-001.jpg,"54.07016530772201, -2.7892019388978952",,Painting
56,"lune , skerton bridge",,https://artuk.org/discover/artworks/lancaster-castle-from-the-river-lune-153196/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/27,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1998_16-001.jpg,"54.05518575506227, -2.7971865537052567",,Painting
57,castle,,https://artuk.org/discover/artworks/view-of-the-john-ogaunt-gateway-lancaster-castle-153198/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/27,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_2010_4_1-001.jpg,"54.04919919716774, -2.804780707052198",,Painting
